Category,Flagged Type,Flagged ID,Comments,Created At
Wrong activity type,Activity,445771559,Bike ride tagged as run,"Apr 25, 2016, 12:31:55 AM"
Wrong activity type,Activity,474198391,bike ride tagged as run,"Apr 25, 2016, 12:38:57 AM"
Wrong activity type,Activity,950818585,Either a bike or car was used and was not a run.  Activity has miles in under 3 minutes.,"Apr 17, 2019, 10:54:55 PM"
Activity was in a vehicle,Activity,1625668542,Impossible to run .18 miles in 14 seconds,"Apr 17, 2019, 10:57:34 PM"
Activity was in a vehicle,Activity,1625668542,Impossible to run .18 miles in 14 seconds,"Apr 17, 2019, 10:57:34 PM"
Activity was in a vehicle,Activity,1835342930,Impossible to run .18 miles in 15 seconds,"Apr 17, 2019, 10:59:08 PM"
Wrong activity type,Activity,2300714875,bike ride as run.  Paces impossible,"Apr 22, 2019, 1:27:59 PM"
Suspicious Behavior,Athlete,8973286,"","Oct 21, 2019, 12:25:48 PM"
Wrong activity type,Activity,3232559921,Bike uploaded as run,"Apr 2, 2020, 4:57:50 PM"
Wrong activity type,Activity,3377216719,bike ride loaded as run,"May 13, 2020, 3:57:27 PM"
Wrong activity type,Activity,3338638840,bike ride as run.  ,"May 13, 2020, 3:58:35 PM"
Wrong activity type,Activity,3431407450,Bike ride as run.  (he has pictures of the bike),"Jun 9, 2020, 6:50:15 PM"
Wrong activity type,Activity,3741205347,rode a bike ,"Jul 13, 2020, 10:37:47 PM"
Wrong activity type,Activity,3386281995,bike ride as run,"Jul 18, 2020, 10:22:24 PM"
Wrong activity type,Activity,2654328866,ride saved as run.  two people who rode with him correctly loaded as rides.,"Sep 3, 2020, 5:55:52 PM"
Wrong activity type,Activity,2829804090,multiple miles faster than world record pace,"Sep 3, 2020, 5:57:12 PM"
Wrong activity type,Activity,3938923587,ride saved as run.  faster than world record pace.  person with him correctly coded as ride,"Sep 3, 2020, 5:58:24 PM"
Wrong activity type,Activity,3640816989,ride loaded as run,"Sep 3, 2020, 6:01:55 PM"
Bad GPS data,Activity,4190931710,faster than WR pace,"Nov 24, 2020, 8:42:11 PM"
Bad GPS data,Activity,157675244,pace for segment not possible,"Nov 24, 2020, 8:43:02 PM"
Bad GPS data,Activity,1223185449,pace for segment not possible,"Nov 24, 2020, 8:43:51 PM"
Wrong activity type,Activity,305537986,"faster than possible, and activity is titled ""ride"" but saved as run","Nov 26, 2020, 1:18:46 AM"
Activity was in a vehicle,Activity,1812575664,WR pace,"Jun 16, 2021, 3:21:49 PM"
Bad GPS data,Activity,534039225,Not physically possible,"Jun 16, 2021, 3:23:13 PM"
Activity was in a vehicle,Activity,3988563814,Roughly 3 times faster than WR pace for a mile...,"Sep 2, 2021, 5:42:44 PM"
Bad GPS data,Activity,1718251323,Has a 1 minute mile on a segment.,"Sep 2, 2021, 5:44:55 PM"
Bad GPS data,Activity,1768978389,Impossible run time of 1:15 on a mile+ segment (why drive...),"Sep 2, 2021, 5:46:11 PM"
Bad GPS data,Activity,1630430309,Impossible 1:15 run time on a mile+ segment (why drive...),"Sep 2, 2021, 5:47:51 PM"
Wrong activity type,Activity,5769160134,Obvious bike (multiple sub 4 minute miles in a row),"Sep 2, 2021, 5:48:56 PM"
Wrong activity type,Activity,5642388074,obvious bike ride.  ,"Sep 2, 2021, 5:50:34 PM"
Activity was in a vehicle,Activity,92473391,WR pace on uphill segment.  appears she forgot to turn her watch off and drove home,"Feb 1, 2022, 11:20:00 AM"
