Segment Name,Activity ID,Starting Latitude,Starting Longitude,Ending Latitude,Ending Longitude
Bottisham Loop,4962581,52.224431,0.259457,52.224463,0.259497
""
Mildenhall 5k course,5292235,52.353576,0.488508,52.353446,0.488374
Perimeter Road,11312948,52.353912,0.486628,52.353888,0.486712
Mildenhall Perimeter Road,15941081,52.370271,0.46951,52.37015,0.469449
Brandon Forest Long Loop,18731034,52.433073,0.626128,52.432909,0.626136
CC Challenge course,31120941,32.386845,-86.355856,32.385714,-86.351318
Brandon Country Park Parkrun,45494959,52.436785,0.626145,52.435006,0.623854
Walker Ranch to 1604,2581564252,29.555868,-98.501094,29.600683,-98.540221
1604 to Walker Ranch,2581564252,29.600807,-98.540231,29.555838,-98.501049
